"id"	"title"	"old_field"	"label"	"field"	"ig_winner"	"field_num"
2073	"Spherical torus-based video hashing for near-duplicate video detection"	"exact_eng"	0	"exact_eng"	0	2
1688	"Evolution of the human brain through runaway sexual selection: The mind as a protean courtship device"	"psychology"	1	"neuroscience"	0	4
1171	"Crab louse infestation in pre-Columbian America."	"biology"	1	"bio_env"	0	1
2710	"Effects of aging on the neuromagnetic mismatch detection to speech sounds"	"neuroscience"	0	"neuroscience"	0	4
3147	"Changes in network dynamics during status epilepticus"	"neuroscience"	0	"neuroscience"	0	4
2631	"Die neuen Heilverfahren der DGUV: Aus Sicht der BG Kliniken"	"medicine"	0	"medicine"	0	3
428	"Long-term trends in human eye blink rate"	"medicine"	1	"medicine"	0	3
439	"Kangaroo Care: Not a Useless Therapy"	"medicine"	1	"medicine"	0	3
2611	"Baseline results of the first malaria indicator survey in Iran at household level"	"medicine"	0	"medicine"	0	3
276	"Gauge Theory of the Falling Cat."	"mathematics"	1	"exact_eng"	0	2
3122	"Effects of sertoli cell-conditioned medium on ventral midbrain neural stem cells: A preliminary report"	"neuroscience"	0	"neuroscience"	0	4
219	"Which feels heavier - a pound of lead or a pound of feathers?"	"psychology"	1	"neuroscience"	0	4
1535	"Fish Surgery: Presurgical Preparation and Common Surgical Procedures."	"medicine"	1	"medicine"	0	3
2626	"Expression of the multidrug resistance-associated P-glycoprotein (P-170) in 59 cases of de novo acute lymphoblastic leukemia: prognostic implications."	"medicine"	0	"medicine"	0	3
973	"Obesity and Crime: Is There a Relationship?"	"economics"	1	"neuroscience"	0	4
2374	"Controversial issues of optimal surgical timing and patient selection in the treatment planning of otosclerosis"	"medicine"	0	"medicine"	0	3
750	"Facial Expression and Vocal Pitch Height: Evidence of an Intermodal Association"	"humanities"	1	"neuroscience"	0	4
993	"Batting last as a home advantage factor in men's NCAA tournament baseball"	"psychology"	1	"neuroscience"	0	4
2000	"Polarization dependent loss in polymeric rib channel waveguide"	"exact_eng"	0	"exact_eng"	0	2
463	"Digit Ratio (2D:4D) in Lithuania Once and Now: Testing for Sex Differences Relations with Eye and Hair Color and a Possible Secular Change"	"genetics"	1	"medicine"	0	3
2924	"MRI tracking of bone marrow mesenchymal stem cells labeled with ultra-small superparamagnetic iron oxide nanoparticles in a rat model of temporal lobe epilepsy"	"neuroscience"	0	"neuroscience"	0	4
553	"Earthworm Is a Versatile and Sustainable Biocatalyst for Organic Synthesis"	"chemistry"	1	"bio_env"	0	1
1697	"What marketers can learn from lap-dancers: A field study of ovulatory cycle effects on consumer behavior"	"psychology"	1	"neuroscience"	0	4
1266	"A 4-year-old with a ""pirate face""."	"medicine"	1	"medicine"	0	3
1140	"Eye Fixations Indicate Men's Preference for Female Breasts or Buttocks"	"psychology"	1	"neuroscience"	0	4
2019	"Design of a Sinusoidally Wound 2-D Rotational Core Loss Setup With the Consideration of Sensor Sizing"	"exact_eng"	0	"exact_eng"	0	2
1738	"Study of some factors maintaining the ""atrophie gonadique"" character in experimental populations of Drosophila melanogaster"	"bio_env"	0	"bio_env"	0	1
3288	"NMDA Receptor Antagonism Blocks Experience-Dependent Expansion of Hippocampal ""Place Fields"""	"neuroscience"	0	"neuroscience"	0	4
2216	"Comment on 'Silicone oil removal after rhegmatogenous retinal detachment: comparing techniques"""	"medicine"	0	"medicine"	0	3
1100	"Deep and crisp and eaten: Scotland's deep-fried Mars bar."	"humanities"	1	"neuroscience"	0	4
1836	"Somaclonal variation as a tool for crop improvement"	"bio_env"	0	"bio_env"	0	1
513	"Studies in the Respiration of Paramecium caudatum"	"biology"	1	"bio_env"	0	1
1716	"Detection of interspecific and intraspecific variation in Panicum millets through random amplified polymorphic DNA"	"bio_env"	0	"bio_env"	0	1
448	"Experimental Security Analysis of a Modern Automobile."	"physics"	1	"exact_eng"	0	2
917	"An unusual foreign body in the nostril."	"medicine"	1	"medicine"	0	3
223	"Pornographic picture processing interferes with working memory performance."	"psychology"	1	"neuroscience"	0	4
1537	"St. Ephrem on the Scent of Salvation"	"humanities"	1	"neuroscience"	0	4
2204	"Studies on the phagocytic activity of the reticuloendothelial system (RES) to rough and smoothEscherichia coli in young conventional and germfree guinea pigs"	"medicine"	0	"medicine"	0	3
2965	"Immature Neurons and Radial Glia, But Not Astrocytes or Microglia, Are Altered in Adult Cntnap2 and Shank3 Mice, Models of Autism"	"neuroscience"	0	"neuroscience"	0	4
559	"Nest sanitation through defecation: antifungal properties of wood cockroach feces."	"biology"	1	"bio_env"	0	1
1355	"Watching food-related television increases caloric intake in restrained eaters."	"psychology"	1	"neuroscience"	0	4
2288	"The same but different: autologous hematopoietic stem cell transplantation for patients with lymphoma and HIV infection"	"medicine"	0	"medicine"	0	3
3329	"The Kv4.2 Potassium Channel Subunit Is Required for Pain Plasticity"	"neuroscience"	0	"neuroscience"	0	4
1212	"Effects of laughing, smiling, and howling on mood."	"psychology"	1	"neuroscience"	0	4
2599	"Is Endogenous GLP-1 the Only Important Enhancer of Glucose-Induced Insulin Secretion in Type 2 Diabetes?"	"medicine"	0	"medicine"	0	3
522	"Common-Deadline Lazy Bureaucrat Scheduling Problems."	"cs"	1	"exact_eng"	0	2
2202	"Menopausal status dependence of the timing of breast cancer recurrence after surgical removal of the primary tumour"	"medicine"	0	"medicine"	0	3
3333	"Developmental Dyscalculia: heterogeneity might not mean different mechanisms"	"neuroscience"	0	"neuroscience"	0	4
2439	"Management of hepatocellular carcinoma."	"medicine"	0	"medicine"	0	3
456	"Music and the small human being"	"humanities"	1	"neuroscience"	0	4
2342	"Vagal reflexes following an exercise stress test: a simple clinical tool for gene-specific risk stratification in the long QT syndrome."	"medicine"	0	"medicine"	0	3
1595	"The Early History of the Ham Sandwich Theorem."	"mathematics"	1	"exact_eng"	0	2
3137	"Brain monoaminergic and neuropeptidergic variations in human aging"	"neuroscience"	0	"neuroscience"	0	4
2390	"Wireless Telemetry and Cystic Fibrosis: Just the pHacts"	"medicine"	0	"medicine"	0	3
2920	"Limited-capacity mechanisms of visual discrimination"	"neuroscience"	0	"neuroscience"	0	4
215	"Duty of Care to the Undiagnosed Patient: Ethical Imperative or Just a Load of Hogwarts?"	"medicine"	1	"medicine"	0	3
2370	"Penetrating keratoplasty for keratoconus with or without vernal keratoconjunctivitis."	"medicine"	0	"medicine"	0	3
1351	"The Shape of Holes."	"psychology"	1	"neuroscience"	0	4
3168	"Electrolytic Lesions of the Fimbria/Fornix, Dorsal Hippocampus, or Entorhinal Cortex Produce Anterograde Deficits in Contextual Fear Conditioning in Rats"	"neuroscience"	0	"neuroscience"	0	4
1490	"Catching balls: how to get the hand to the right place at the right time"	"psychology"	1	"neuroscience"	0	4
1519	"Auld lang syne: success predictors, change processes, and self-reported outcomes of New Year's resolvers and nonresolvers."	"psychology"	1	"neuroscience"	0	4
2566	"Design and Implementation of a Wireless Sensor Network-Based Remote Water-Level Monitoring System"	"medicine"	0	"medicine"	0	3
2257	"Is open innovation the way forward for big pharma?"	"medicine"	0	"medicine"	0	3
1024	"Army Ant Defensive Behaviour and Chimpanzee Predation Success: Field Experiments in Nigeria"	"biology"	1	"bio_env"	0	1
1144	"On the Glug-Glug of Ideal Bottles."	"physics"	1	"exact_eng"	0	2
218	"Depiction of elderly and disabled people on road traffic signs: international comparison"	"humanities"	1	"neuroscience"	0	4
557	"The ""birthday blues"" in a sample of major league baseball players' suicides"	"humanities"	1	"neuroscience"	0	4
2397	"Serotherapy of B-cell neoplasms with anti-B4-blocked ricin: a phase I trial of daily bolus infusion"	"medicine"	0	"medicine"	0	3
1797	"Some evidence for genetically controlled variation in photosynthetic rate of oil palm seedlings"	"bio_env"	0	"bio_env"	0	1
2649	"Outcome of ICG-assisted ILM peel in macular hole surgery"	"medicine"	0	"medicine"	0	3
3061	"Antagonism of V1b receptors promotes maternal motivation to retrieve pups in the MPOA and impairs pup-directed behavior during maternal defense in the mpBNST of lactating rats"	"neuroscience"	0	"neuroscience"	0	4
1524	"The Relationship between Familial Resemblance and Sexual Attraction: An Update on Westermarck, Freud, and the Incest Taboo"	"psychology"	1	"neuroscience"	0	4
1947	"Interacting Brownian dynamics in a nonequilibrium particle bath."	"exact_eng"	0	"exact_eng"	0	2
381	"A program to help major league baseball players quit using spit tobacco"	"humanities"	1	"neuroscience"	0	4
1046	"Self-fertilization in human: having a male embryo without a father."	"medicine"	1	"medicine"	0	3
581	"Delusions of Halitosis"	"medicine"	1	"medicine"	0	3
3268	"Affective evaluations of objects are influenced by observed gaze direction and emotional expression"	"neuroscience"	0	"neuroscience"	0	4
990	"Robert Bennett Bean 1874-1944"	"humanities"	1	"neuroscience"	0	4
3343	"Peptidergic input to immunohistochemically-identified Renshaw cells"	"neuroscience"	0	"neuroscience"	0	4
646	"Disturbance of sleep by sonic booms."	"medicine"	1	"medicine"	0	3
280	"Is the last man standing in comedy the least funny? A retrospective cohort study of elite stand-up comedians versus other entertainers"	"medicine"	1	"medicine"	0	3
2539	"Diagnosing abusive head trauma: the challenges faced by clinicians"	"medicine"	0	"medicine"	0	3
3141	"Localization of spontaneous bursting neuronal activity in the preterm human brain with simultaneous EEG-fMRI"	"neuroscience"	0	"neuroscience"	0	4
248	"Superiority of experts over novices in trueness and precision of concentration estimation of sodium chloride solutions."	"chemistry"	1	"bio_env"	0	1
3006	"Two visual systems re-viewed"	"neuroscience"	0	"neuroscience"	0	4
511	"College Admissions and the Stability of Marriage"	"mathematics"	1	"exact_eng"	0	2
3136	"Adaptation of grasping responses to distorted object size and orientation"	"neuroscience"	0	"neuroscience"	0	4
962	"Time Profile of Putrescine, Cadaverine, Indole and Skatole in Human Saliva"	"medicine"	1	"medicine"	0	3
2338	"Hitching the gallbladder in laparoscopic-assisted cholecysto-cholangiography: a simple technique"	"medicine"	0	"medicine"	0	3
1071	"Do rats have orgasms?"	"biology"	1	"bio_env"	0	1
1853	"Comparative Innate Responses of the Aphid Parasitoid Diaeretiella rapae to Alkenyl Glucosinolate Derived Isothiocyanates, Nitriles, and Epithionitriles"	"bio_env"	0	"bio_env"	0	1
2639	"Comment on Sanfélix-Genovés et al.: Prevalence of osteoporotic fracture risk factors and antiosteoporotic treatments in the Valencia region, Spain. The baseline characteristics of the ESOSVAL cohort"	"medicine"	0	"medicine"	0	3
3271	"Effects of age on cognitive control during semantic categorization"	"neuroscience"	0	"neuroscience"	0	4
220	"Why Beautiful People Are More Intelligent."	"psychology"	1	"neuroscience"	0	4
2528	"Variation in Temporal Measures of Swallowing: Sex and Volume Effects"	"medicine"	0	"medicine"	0	3
1416	"Catching of balls unexpectedly thrown or fired by cannon."	"psychology"	1	"neuroscience"	0	4
2715	"Distribution of dipeptide repeat proteins in cellular models and C9orf72 mutation cases suggests link to transcriptional silencing"	"neuroscience"	0	"neuroscience"	0	4
762	"Faculty Perceptions of Plagiarism"	"humanities"	1	"neuroscience"	0	4
3068	"K+ currents fail to change in reactive retinal glial cells in a mouse model of glaucoma"	"neuroscience"	0	"neuroscience"	0	4
3293	"Correction: When Less Is More: Non-monotonic Spike Sequence Processing in Neurons"	"neuroscience"	0	"neuroscience"	0	4
3060	"Constraining the comprehension of pronominal expressions in Chinese"	"neuroscience"	0	"neuroscience"	0	4
2518	"The main sceneries of Chagas disease transmission. The vectors, blood and oral transmissions - A comprehensive review"	"medicine"	0	"medicine"	0	3
2763	"Phonological perception by birds: budgerigars can perceive lexical stress"	"neuroscience"	0	"neuroscience"	0	4
817	"The Fly Trap"	"humanities"	1	"neuroscience"	0	4
1425	"A funny thing happened on the way to the scanner: humor detection correlates with gray matter volume"	"medicine"	1	"medicine"	0	3
690	"Two pack king size chocolate bars. Can we manage our consumption?"	"psychology"	1	"neuroscience"	0	4
2052	"Minimum Volume Simplex Analysis: A Fast Algorithm for Linear Hyperspectral Unmixing"	"exact_eng"	0	"exact_eng"	0	2
1569	"The Swedish Pimple: Or Thoughts on Specialization"	"medicine"	1	"medicine"	0	3
460	"Leftovers from the Ham Sandwich Theorem."	"mathematics"	1	"exact_eng"	0	2
3340	"Exposure to enriched environment restores the survival and differentiation of new born cells in the hippocampus and ameliorates depressive symptoms in chronically stressed rats"	"neuroscience"	0	"neuroscience"	0	4
809	"Milk intake and risk of mortality and fractures in women and men: cohort studies"	"medicine"	1	"medicine"	0	3
3002	"Geometric analysis of soft thresholds in action potential initiation and the consequences for understanding phase response curves and model tuning"	"neuroscience"	0	"neuroscience"	0	4
545	"Pie-eyed and deskless"	"humanities"	1	"neuroscience"	0	4
1298	"Taking the Biscuit: The Structure of British Meals"	"psychology"	1	"neuroscience"	0	4
3234	"Where words and space collide: The overlapping neural activation of lexical and sublexical reading with voluntary and reflexive spatial attention"	"neuroscience"	0	"neuroscience"	0	4
2781	"Some in vivo electrophysiological properties of locus coeruleus neurones in fetal rats"	"neuroscience"	0	"neuroscience"	0	4
560	"Aerosolization of a Human Norovirus Surrogate, Bacteriophage MS2, during Simulated Vomiting"	"medicine"	1	"medicine"	0	3
1439	"Three-dimensional Kinematic Analysis of the Pectoral Girdle during Upside-down Locomotion of Two-toed Sloths (Choloepus didactylus Linne 1758)"	"physics"	1	"exact_eng"	0	2
2381	"The challenge of providing better care for patients with chronic obstructive pulmonary disease: the poor relation of airways obstruction?"	"medicine"	0	"medicine"	0	3
1186	"Morphologic Patterns of Lip Prints in a Portuguese Population: A Preliminary Analysis"	"genetics"	1	"medicine"	0	3
2679	"Co-administration of Creatine Plus Pyruvate Prevents the Effects of Phenylalanine Administration to Female Rats During Pregnancy and Lactation on Enzymes Activity of Energy Metabolism in Cerebral Cortex and Hippocampus of the Offspring"	"neuroscience"	0	"neuroscience"	0	4
1776	"A comparison of two common sample preparation techniques for lipid and fatty acid analysis in three different coral morphotypes reveals quantitative and qualitative differences"	"bio_env"	0	"bio_env"	0	1
3338	"Geographic pattern of central retinal sensitivity after intravitreal triamcinolone for diabetic macular edema"	"neuroscience"	0	"neuroscience"	0	4
2115	"Reduction of Common-Mode Voltage in Multiphase Two-Level Inverters Using SPWM With Phase-Shifted Carriers"	"exact_eng"	0	"exact_eng"	0	2
609	"Reflex Epilepsy Induced by Calculation Using a Soroban, a Japanese Traditional Calculator."	"medicine"	1	"medicine"	0	3
2850	"Effects of Temperature on the Spike Activity of Cortical Neurons in Guinea Pigs"	"neuroscience"	0	"neuroscience"	0	4
1717	"Cold Tolerance of the Photosynthetic Apparatus: Pleiotropic Relationship between Photosynthetic Performance and Specific Leaf Area of Maize Seedlings"	"bio_env"	0	"bio_env"	0	1
1303	"Role of Conditioning and Verbal Suggestion in Placebo and Nocebo Effects on Itch"	"psychology"	1	"neuroscience"	0	4
1624	"Territorial Spacing on a Beach Revisited: A Cross-National Exploration."	"humanities"	1	"neuroscience"	0	4
502	"Physical and situational inequality on airplanes predicts air rage"	"psychology"	1	"neuroscience"	0	4
3242	"Role of apolipoprotein E and estrogen in mossy fiber sprouting in hippocampal slice cultures"	"neuroscience"	0	"neuroscience"	0	4
1342	"The History of Dandruff and Dandruff in History: An Homage to Raymond Sabouraud"	"humanities"	1	"medicine"	0	3
1319	"Utilisation of a Sperm Quality Analyser to Evaluate Sperm Quantity and Quality of Turkey Breeders"	"biology"	1	"bio_env"	0	1
207	"Prolonged chewing at lunch decreases later snack intake."	"psychology"	1	"neuroscience"	0	4
403	"Sonic Boom Effects on Sleep: A Field Experiment on Military and Civilian Populations."	"physics"	1	"exact_eng"	0	2
3057	"Differential contributions of the globus pallidus and ventral thalamus to stimulus-response learning in humans"	"neuroscience"	0	"neuroscience"	0	4
2127	"A Power-Efficient Ultra-Wideband Pulse Generator Based on Multiple PM-IM Conversions"	"exact_eng"	0	"exact_eng"	0	2
832	"London and Edinburgh Vacuum Tunnel Company Capital 90 000 Sterling."	"cs"	1	"exact_eng"	0	2
2092	"CSIT Error Analysis in TDD Systems with Estimation Delay, Noise and Pilot Interference"	"exact_eng"	0	"exact_eng"	0	2
2967	"Putting Humpty together and pulling him apart: Accessing and unbinding the hippocampal item-context engram"	"neuroscience"	0	"neuroscience"	0	4
1619	"Beating the Fruit Machine: Systems and Ploys Both Legal and Illegal."	"humanities"	1	"neuroscience"	0	4
2438	"Seasonal changes in blood pressure: possible interaction between sunlight and brain serotonin."	"medicine"	0	"medicine"	0	3
2737	"Melanocortin 4 receptor antagonists attenuates morphine antinociceptive tolerance, astroglial activation and cytokines expression in the spinal cord of rat"	"neuroscience"	0	"neuroscience"	0	4
1412	"Earwax (cerumen) might be formulated into a safe and biodegradable insect repellent."	"biology"	1	"bio_env"	0	1
1064	"An Attempt at Determining Probabilities in Human Scalp Hair Comparison."	"medicine"	1	"medicine"	0	3
3132	"The Brain under Self-Control: Modulation of Inhibitory and Monitoring Cortical Networks during Hypnotic Paralysis"	"neuroscience"	0	"neuroscience"	0	4
2542	"Comparison of peripheral venous and arterial blood gas analyses"	"medicine"	0	"medicine"	0	3
1518	"Consumer Perception and Preference of Bottled and Tap Water"	"biology"	1	"bio_env"	0	1
1826	"Modelling of wetting pattern under trickle source in sandy soil of Nirjuli, Arunachal Pradesh (India)"	"bio_env"	0	"bio_env"	0	1
1608	"Interference of high-heeled shoes in static balance among young women"	"physics"	1	"exact_eng"	0	2
814	"Naughty Words in British Placenames"	"humanities"	1	"neuroscience"	0	4
1256	"Jesus and the Ideal of the Manly Man in New Zealand after World War One"	"humanities"	1	"neuroscience"	0	4
2177	"British Society of Gastroenterology guidelines for the management of the irritable bowel syndrome."	"medicine"	0	"medicine"	0	3
2226	"Sustained deviation of gaze direction can affect ""inverted vection"" induced by the foreground motion"	"medicine"	0	"medicine"	0	3
394	"Tactile stimuli perceived by the antennae cause the isolated females to produce gregarious offspring in the desert locust, Schistocerca gregaria."	"biology"	1	"bio_env"	0	1
2988	"Flicker parameters are different for suppression of myopia and hyperopia"	"neuroscience"	0	"neuroscience"	0	4
3163	"Cognitive neuroscience: Primary visual cortex and visual awareness"	"neuroscience"	0	"neuroscience"	0	4
3150	"Changes to the online tracking submission system of the journal; implementation of new tracking system Editorial Manager (EM); change in reference order; clinical trial registration and authorship form"	"neuroscience"	0	"neuroscience"	0	4
1596	"Preference Organization and Reply Comprehension."	"humanities"	1	"neuroscience"	0	4
2709	"Convergent evidence of the contribution of TP53 genetic variation (Pro72Arg) to metabolic activity and white matter volume in the frontal lobe in schizophrenia patients"	"neuroscience"	0	"neuroscience"	0	4
3071	"How to survive a nerve-wracking journey"	"neuroscience"	0	"neuroscience"	0	4
1236	"Seizures induced by thinking."	"medicine"	1	"medicine"	0	3
982	"Slash fiction and human mating psychology."	"humanities"	1	"neuroscience"	0	4
2141	"Hypertension and vascular dynamics in men and women with metabolic syndrome."	"medicine"	0	"medicine"	0	3
1124	"Establishing and Maintaining Clinically Healthy Gingivae in Rhesus Monkeys"	"medicine"	1	"medicine"	0	3
1370	"A Narrow Waist Versus Broad Shoulders: Sex and Age Differences in the Jealousy-Evoking Characteristics of a Rival's Body Build."	"psychology"	1	"neuroscience"	0	4
2842	"Understanding the Degradation of Hominid Gene Control"	"neuroscience"	0	"neuroscience"	0	4
3103	"Neurobiological Evidence for Abstract Phonological Representations in the Mental Lexicon during Speech Recognition"	"neuroscience"	0	"neuroscience"	0	4
2672	"The effect of neuronal population size on the development of epileptiform discharges in the low calcium model of epilepsy"	"neuroscience"	0	"neuroscience"	0	4
684	"How Smart Are the Smart Guys? A Unique View from Hedge Fund Stock Holdings."	"economics"	1	"neuroscience"	0	4
2789	"Congenital Myasthenic Syndromes"	"neuroscience"	0	"neuroscience"	0	4
2190	"Use of intravitreal bevacizumab injections to treat type 1 idiopathic macular telangiectasia"	"medicine"	0	"medicine"	0	3
2678	"Measuring the useful field of view during simulated driving with gaze-contingent displays"	"neuroscience"	0	"neuroscience"	0	4
3203	"Probing the Biology of Alzheimer's Disease in Mice"	"neuroscience"	0	"neuroscience"	0	4
1254	"Fecal Matters: Habitus, Embodiments, and Deviance"	"psychology"	1	"neuroscience"	0	4
563	"Do facial expressions develop before birth?"	"psychology"	1	"neuroscience"	0	4
3007	"Eye position and memory saccade related responses in substantia nigra pars reticulata"	"neuroscience"	0	"neuroscience"	0	4
1945	"Wireless Power Transfer With Hybrid Beamforming: How Many RF Chains Do We Need?"	"exact_eng"	0	"exact_eng"	0	2
303	"Promotion Systems and Organizational Performance: A Contingency Model."	"mathematics"	1	"exact_eng"	0	2
829	"Celebrating Fragmentation: The Presence of Aristocratic Body Parts in Monastic Houses in Twelfth- and Thirteenth-Century England"	"humanities"	1	"neuroscience"	0	4
1364	"Gossip, Humor, and the Art of Becoming an Intimate of Jesus"	"humanities"	1	"neuroscience"	0	4
1875	"Implementation of a post-market monitoring for insect-protected maize MON 810 in the EU"	"bio_env"	0	"bio_env"	0	1
639	"The Effects of Discotheque Dancing on Selected Physiological and Psychological Parameters of College Students."	"psychology"	1	"neuroscience"	0	4
1321	"The effect of the Thanksgiving holiday on weight gain."	"medicine"	1	"medicine"	0	3
1403	"Mentors and Criminal Achievement"	"medicine"	1	"medicine"	0	3
1631	"Feelings of Disgust and Disgust-Induced Avoidance Weaken following Induced Sexual Arousal in Women"	"psychology"	1	"neuroscience"	0	4
515	"The History of Freckles in Art"	"medicine"	1	"medicine"	0	3
1023	"Assessment of the Effects of Municipal Sewage, Immersed Idols and Boating on the Heavy Metal and Other Elemental Pollution of Surface Water of the Eutrophic Hussainsagar Lake (Hyderabad, India)"	"medicine"	1	"medicine"	0	3
2552	"Retrospective study of technical aspects and complications of endoscopic submucosal dissection for laterally spreading tumors of the colorectum."	"medicine"	0	"medicine"	0	3
3155	"Distribution of catecholaminergic and peptidergic cells in the gerbil medial amygdala, caudal preoptic area and caudal bed nuclei of the stria terminalis with a focus on areas activated at ejaculation"	"neuroscience"	0	"neuroscience"	0	4
3358	"Attentional modulation of oscillatory activity in human visual cortex"	"neuroscience"	0	"neuroscience"	0	4
2206	"Optimierung der differenzialdiagnostischen Strategie bei Patienten mit sekundären Uveitisformen mit einem computergestützten System"	"medicine"	0	"medicine"	0	3
521	"Taste Preference for Brussels Sprouts: An Informal Look"	"psychology"	1	"neuroscience"	0	4
271	"Trinkaus: An Informal Look"	"economics"	1	"neuroscience"	0	4
3363	"Atypical neural modulation in the right prefrontal cortex during an inhibitory task with eye gaze in autism spectrum disorder as revealed by functional near-infrared spectroscopy."	"neuroscience"	0	"neuroscience"	0	4
2640	"Aortic stiffness is an independent predictor of progression to hypertension in nonhypertensive subjects."	"medicine"	0	"medicine"	0	3
678	"Forensic approach to an archaeological casework of ""vampire"" skeletal remains in Venice: odontological and anthropological prospectus."	"medicine"	1	"medicine"	0	3
2718	"Comparison of vertical and horizontal saccade measures and their relation to gray matter changes in premanifest and manifest Huntington disease"	"neuroscience"	0	"neuroscience"	0	4
843	"Lost Luggage: A Field Study of Emotion-Antecedent Appraisal"	"psychology"	1	"neuroscience"	0	4
2989	"Persistent irregular activity is a result of rebound and coincident detection mechanisms: A computational study"	"neuroscience"	0	"neuroscience"	0	4
2278	"Safety of performing fiberoptic bronchoscopy in critically ill hypoxemic patients with acute respiratory failure"	"medicine"	0	"medicine"	0	3
2303	"Automated peritoneal dialysis as the modality of choice: a single-center, 3-year experience with 458 children in Mexico"	"medicine"	0	"medicine"	0	3
580	"a compromise between men's and women's ideal mating strategies"	"psychology"	1	"neuroscience"	0	4
410	"Induction of self awareness in dreams through frontal low current stimulation of gamma activity."	"psychology"	1	"neuroscience"	0	4
972	"Effects of Group Size and Personality on Social Foraging: The Distribution of Sheep Across Patches."	"psychology"	1	"neuroscience"	0	4
1057	"Method for Causing Skin Lightening"	"chemistry"	1	"medicine"	0	3
1805	"Influence of cropping system and nitrogen input on soil fauna and microorganisms in a Swedish arable soil"	"bio_env"	0	"bio_env"	0	1
3229	"Reduction in endocannabinoid tone is a homeostatic mechanism for specific inhibitory synapses"	"neuroscience"	0	"neuroscience"	0	4
3165	"Role of the left DLPFC in endogenous task preparation: experimental repetitive transcranial magnetic stimulation study."	"neuroscience"	0	"neuroscience"	0	4
328	"Hermaphroditism: What's not to like?"	"biology"	1	"bio_env"	0	1
551	"Mushrooms as Rainmakers: How Spores Act as Nuclei for Raindrops"	"biology"	1	"bio_env"	0	1
2095	"An extension of the Hirsch index: Indexing scientific topics and compounds"	"exact_eng"	0	"exact_eng"	0	2
594	"Work for the Hairdressers: The Production of de Prony's Logarithmic and Trigonometric Tables."	"mathematics"	1	"exact_eng"	0	2
2249	"Systematic Review and Meta-Analysis of Enucleation Versus Standardized Resection for Small Pancreatic Lesions"	"medicine"	0	"medicine"	0	3
2408	"Typical signs of acute appendicitis in ultrasonography mimicked by other diseases?"	"medicine"	0	"medicine"	0	3
2264	"Adiponectin replenishment ameliorates obesity-related hypertension."	"medicine"	0	"medicine"	0	3
2717	"Stereopsis with persisting and dynamic textures"	"neuroscience"	0	"neuroscience"	0	4
1166	"The morning morality effect: the influence of time of day on unethical behavior."	"psychology"	1	"neuroscience"	0	4
1577	"A case of possessive state with onset influenced by 'door-to-door' sales"	"economics"	1	"neuroscience"	0	4
2366	"Split chimerism after allogeneic bone marrow transplantation in Chediak-Higashi syndrome"	"medicine"	0	"medicine"	0	3
826	"Deceptive-like behaviour in dogs (Canis familiaris)"	"psychology"	1	"neuroscience"	0	4
465	"Biting Off More Than You Can Chew: A Forensic Case Report"	"medicine"	1	"medicine"	0	3
1075	"The effects of chocolates given by patients on the well-being of nurses and their support staff."	"medicine"	1	"medicine"	0	3
2349	"Prevalence of metabolic syndrome (METS) using IDF 2005 guidelines in a semi urban south Indian (Boloor Diabetes Study) population of Mangalore."	"medicine"	0	"medicine"	0	3
333	"The Smell of Age: Perception and Discrimination of Body Odors of Different Ages"	"psychology"	1	"neuroscience"	0	4
3059	"The L/M-opponent channel provides a distinct and time-dependent contribution towards visual recognition."	"neuroscience"	0	"neuroscience"	0	4
228	"Disco Fever: Epidemic Meningococcal Disease in Northeastern Argentina Associated With Disco Patronage."	"medicine"	1	"medicine"	0	3
641	"Anomalous Optoelectronic Properties of Chiral Carbon Nanorings... and One Ring to Rule Them All"	"chemistry"	1	"exact_eng"	0	2
2632	"Functional gallbladder and sphincter of oddi disorders."	"medicine"	0	"medicine"	0	3
2036	"Approximating common solution of variational inequality problems for two monotone mappings in Banach spaces"	"exact_eng"	0	"exact_eng"	0	2
2047	"A Gate Driver With Integrated Deadtime Controller"	"exact_eng"	0	"exact_eng"	0	2
3246	"Neural correlates of the happy life: The amplitude of spontaneous low frequency fluctuations predicts subjective well-being"	"neuroscience"	0	"neuroscience"	0	4
1444	"The Case of ""Judge Nodd"" and Other Sleeping Judges: Media, Society, and Judicial Sleepiness"	"medicine"	1	"medicine"	0	3
2554	"Sex pheromone components of the geometrid mothsLobophora nivigerata andEpirrhoe sperryi"	"medicine"	0	"medicine"	0	3
426	"Let's get serious: communicating commitment in romantic relationships."	"psychology"	1	"neuroscience"	0	4
